Symbol	Word	Transcription	grapheme
p	pai	paj	p
b	barco	\"barku	b
t	tenho	\"teJu	t
d	doce	\"dos@	d
k	com	ko~	c
g	grande	\"gr6nd@	g
f	falo	\"falu	f
v	verde	\"verd@	v
s	céu	sEw	c
z	casa	\"kaz6	z
S	chapéu	S6\"pEw	s
Z	jóia	\"ZOj6	j
m	mar	mar	m
n	nada	\"nad6	n
J	vinho	\"viJu	nh
l	lanche	\"l6nS@	l
L	trabalho	tr6\"baLu	l
r	caro	\"karu	r
R	rua	\"Ru6	r
i	vinte	\"vint@	i
e	fazer	f6\"zer	e
E	belo	\"bElu	e
a	falo	\"falu	a
6	cama	\"k6m6	a
O	ontem	\"Ont6~j~	o
o	lobo	\"lobu	o
u	jus	ZuS	u
@	felizes	f@\"liz@S	e
i~	fim	fi~	im
e~	emprego	e~\"pregu	em
6~	irmã	ir\"m6~	ã
o~	bom	bo~	om
u~	um	u~	um
aw	mau	maw	aw
iw			iu
ew			eu
Ew			éu
ow			ou
aj	mais	majS	ai
oj			oi
Oj			ói
6j			ei
ej			ei
6~j~	têm	t6~j~	êm
o~j~			õe
6~w~			am
